IPA_for_PHOIBLE	Glottolog_code	Glottolog_nearest	Variety_name	Source	Source_ref	Comments
ȴ	ande1247		Antekerrepenhe	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals and labialized segments in Breen 2001 interpreted here as segment sequences.
r	ande1247		Antekerrepenhe	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals and labialized segments in Breen 2001 interpreted here as segment sequences.
ɻ	ande1247		Antekerrepenhe	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals and labialized segments in Breen 2001 interpreted here as segment sequences.
j	ande1247		Antekerrepenhe	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals and labialized segments in Breen 2001 interpreted here as segment sequences.
w	ande1247		Antekerrepenhe	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals and labialized segments in Breen 2001 interpreted here as segment sequences.
i	ande1247		Antekerrepenhe	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals and labialized segments in Breen 2001 interpreted here as segment sequences.
u	ande1247		Antekerrepenhe	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals and labialized segments in Breen 2001 interpreted here as segment sequences.
a	ande1247		Antekerrepenhe	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals and labialized segments in Breen 2001 interpreted here as segment sequences.
ə	ande1247		Antekerrepenhe	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals and labialized segments in Breen 2001 interpreted here as segment sequences.
ɰ	ande1247		Antekerrepenhe	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals and labialized segments in Breen 2001 interpreted here as segment sequences.
t	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ʈ	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
t̪	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȶ	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
k	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
p	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
n	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɳ	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
n̪	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȵ	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ŋ	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
m	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
l	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɭ	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
l̪	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȴ	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
r	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɻ	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
j	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
w	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
i	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
u	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
a	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɰ	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ə	mpar1238		Central Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
t	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
ʈ	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
t̪	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
ȶ	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
k	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
p	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
n	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
ɳ	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
n̪	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
ȵ	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
ŋ	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
m	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
l	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
ɭ	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
l̪	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
ȴ	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
r	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
ɻ	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
j	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
w	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
i	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
u	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
a	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
ə	0000ayerrerenge	ande1247	Ayerrerenge	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Labialized segments in Breen 2001 interpreted here as segment sequences.
t	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ʈ	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
t̪	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȶ	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
k	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
p	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
n	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɳ	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
n̪	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȵ	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ŋ	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
m	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
l	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɭ	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
l̪	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȴ	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
r	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɻ	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
j	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
w	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
i	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
u	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
a	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɰ	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ə	east2379		Eastern Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
t	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ʈ	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
t̪	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȶ	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
k	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
p	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
n	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɳ	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
n̪	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȵ	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ŋ	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
m	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
l	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɭ	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
l̪	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȴ	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
r	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɻ	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
j	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
w	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
i	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
u	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
a	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɰ	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ə	lowe1436		Lower Southern Aranda	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
t	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ʈ	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
t̪	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȶ	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
k	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
p	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
n	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɳ	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
n̪	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȵ	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ŋ	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
m	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
l	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɭ	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
l̪	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ȴ	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
r	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɻ	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
j	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
w	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
i	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
u	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
a	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
ɰ	west2441		Western Arrernte	Breen 2001	http://glottolog.org/resource/reference/id/305912	Please see also the general comparative notes on Australian inventories. Prestopped nasals, prepalatalized and labialized segments in Breen 2001 interpreted here as segment sequences.
